data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,0,,,,
2020-02-25T18:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,0,,,,
2020-02-26T18:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,0,,,,
2020-02-27T18:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,0,,,,
2020-02-28T18:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,0,,,,
2020-02-29T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,0,,,,
2020-03-01T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,0,,,,
2020-03-02T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,0,,,,
2020-03-03T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,0,,,,
2020-03-04T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,0,,,,
2020-03-05T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,2,,,,
2020-03-06T18:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,3,,,,
2020-03-07T18:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,4,,,,
2020-03-08T18:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,4,,,,
2020-03-09T18:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,7,,,,
2020-03-10T18:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,9,,,,
2020-03-11T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,9,,,,
2020-03-12T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,20,,,,
2020-03-13T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,23,,,,
2020-03-14T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,25,,,,
2020-03-15T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,30,,,,
2020-03-16T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,38,,,,
2020-03-17T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,41,,,,
2020-03-18T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,44,,,,
2020-03-19T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,69,,,,
2020-03-20T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,80,,,,
2020-03-21T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,91,,,,
2020-03-22T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,102,,,,
2020-03-23T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,129,,,,
2020-03-24T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,133,,,,
2020-03-25T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,146,,,,
2020-03-26T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,175,,,,
2020-03-27T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,189,,,,
2020-03-28T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,229,,,,
2020-03-29T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,266,,,,
2020-03-30T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,273,,,,
2020-03-31T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,280,,,,
2020-04-01T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,292,,,,
2020-04-02T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,299,,,,
2020-04-03T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,310,,,,
2020-04-04T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,317,,,,
2020-04-05T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,325,,,,
2020-04-06T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,327,,,,
2020-04-07T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,343,,,,
2020-04-08T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,361,,,,
2020-04-09T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,369,,,,
2020-04-10T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,392,,,,
2020-04-11T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,441,,,,
2020-04-12T17:00:00,ITA,13,Abruzzo,069,Chieti,CH,42.35103167,14.16754574,452,,,,
