data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,0,
2020-02-25T18:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,0,
2020-02-26T18:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,0,
2020-02-27T18:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,0,
2020-02-28T18:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,0,
2020-02-29T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,0,
2020-03-01T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,0,
2020-03-02T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,0,
2020-03-03T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,1,
2020-03-04T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,1,
2020-03-05T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,1,
2020-03-06T18:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,1,
2020-03-07T18:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,2,
2020-03-08T18:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,8,
2020-03-09T18:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,14,
2020-03-10T18:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,18,
2020-03-11T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,18,
2020-03-12T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,48,
2020-03-13T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,48,
2020-03-14T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,65,
2020-03-15T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,82,
2020-03-16T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,101,
2020-03-17T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,138,
2020-03-18T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,160,
2020-03-19T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,223,
2020-03-20T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,259,
2020-03-21T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,302,
2020-03-22T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,334,
2020-03-23T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,370,
2020-03-24T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,369,
2020-03-25T17:00:00,ITA,13,Abruzzo,068,Pescara,PE,42.46458398,14.21364822,412,
