data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-06-25T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,2,,,,
2020-06-26T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,2,,,,
2020-06-27T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,2,,,,
2020-06-28T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,2,,,,
2020-06-29T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,2,,,,
2020-06-30T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,2,,,,
2020-07-01T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,2,,,,
2020-07-02T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,2,,,,
2020-07-03T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,4,"NEL TOTALE CASI POSITIVI SONO COMPRESI ULTERIORI N. 2 SOGGETTI RISULTATI POSITIVI PER ATTIVITA' DI SCREENING, ASINTOMATICI ED  IN ISOLAMENTO DOMICILIARE, NON RESIDENTI E PROVENIENTI DA STATO ESTERO.  ",,,
2020-07-04T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,4,"NEL TOTALE CASI POSITIVI SONO COMPRESI ULTERIORI N. 2 SOGGETTI RISULTATI POSITIVI PER ATTIVITA' DI SCREENING, ASINTOMATICI ED  IN ISOLAMENTO DOMICILIARE, NON RESIDENTI E PROVENIENTI DA STATO ESTERO.  ",,,
2020-07-05T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,4,"NEL TOTALE CASI POSITIVI SONO COMPRESI ULTERIORI N. 2 SOGGETTI RISULTATI POSITIVI PER ATTIVITA' DI SCREENING, ASINTOMATICI ED  IN ISOLAMENTO DOMICILIARE, NON RESIDENTI E PROVENIENTI DA STATO ESTERO.  ",,,
2020-07-06T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,4,"NEL TOTALE CASI POSITIVI SONO COMPRESI ULTERIORI N. 2 SOGGETTI RISULTATI POSITIVI PER ATTIVITA' DI SCREENING, ASINTOMATICI ED  IN ISOLAMENTO DOMICILIARE, NON RESIDENTI E PROVENIENTI DA STATO ESTERO.  ",,,
2020-07-07T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,4,"NEL TOTALE CASI POSITIVI SONO COMPRESI ULTERIORI N. 2 SOGGETTI RISULTATI POSITIVI PER ATTIVITA' DI SCREENING, ASINTOMATICI ED  IN ISOLAMENTO DOMICILIARE, NON RESIDENTI E PROVENIENTI DA STATO ESTERO.  ",,,
2020-07-08T17:00:00,ITA,17,Basilicata,880,Fuori_Regione__Provincia_Autonoma,,,,4,,,,
