data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,0,,,,
2020-02-25T18:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,0,,,,
2020-02-26T18:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,0,,,,
2020-02-27T18:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,0,,,,
2020-02-28T18:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,1,,,,
2020-02-29T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,1,,,,
2020-03-01T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,1,,,,
2020-03-02T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,1,,,,
2020-03-03T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,1,,,,
2020-03-04T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,1,,,,
2020-03-05T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,1,,,,
2020-03-06T18:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,1,,,,
2020-03-07T18:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,1,,,,
2020-03-08T18:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,1,,,,
2020-03-09T18:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,4,,,,
2020-03-10T18:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,6,,,,
2020-03-11T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,5,,,,
2020-03-12T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,8,,,,
2020-03-13T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,10,,,,
2020-03-14T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,15,,,,
2020-03-15T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,17,,,,
2020-03-16T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,17,,,,
2020-03-17T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,27,,,,
2020-03-18T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,31,,,,
2020-03-19T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,38,,,,
2020-03-20T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,45,,,,
2020-03-21T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,50,,,,
2020-03-22T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,63,,,,
2020-03-23T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,68,,,,
2020-03-24T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,84,,,,
2020-03-25T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,99,,,,
2020-03-26T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,107,,,,
2020-03-27T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,128,,,,
2020-03-28T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,154,,,,
2020-03-29T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,171,,,,
2020-03-30T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,184,,,,
2020-03-31T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,186,,,,
2020-04-01T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,188,,,,
2020-04-02T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,194,,,,
2020-04-03T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,203,,,,
2020-04-04T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,204,,,,
2020-04-05T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,230,,,,
2020-04-06T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,243,,,,
2020-04-07T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,254,,,,
2020-04-08T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,266,,,,
2020-04-09T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,275,,,,
2020-04-10T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,289,,,,
2020-04-11T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,291,,,,
2020-04-12T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,291,,,,
2020-04-13T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,295,,,,
2020-04-14T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,317,,,,
2020-04-15T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,318,,,,
2020-04-16T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,357,,,,
2020-04-17T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,367,,,,
2020-04-18T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,385,,,,
2020-04-19T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,407,,,,
2020-04-20T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,408,,,,
2020-04-21T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,417,,,,
2020-04-22T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,426,,,,
2020-04-23T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,430,,,,
2020-04-24T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,439,,,,
2020-04-25T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,447,,,,
2020-04-26T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,447,,,,
2020-04-27T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,449,,,,
2020-04-28T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,450,,,,
2020-04-29T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,450,,,,
2020-04-30T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,454,,,,
2020-05-01T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,457,,,,
2020-05-02T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,457,,,,
2020-05-03T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,459,,,,
2020-05-04T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,459,,,,
2020-05-05T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,459,,,,
2020-05-06T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,459,,,,
2020-05-07T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,460,,,,
2020-05-08T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,460,,,,
2020-05-09T17:00:00,ITA,18,Calabria,078,Cosenza,CS,39.29308681,16.25609692,460,,,,
