data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-02-25T18:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-02-26T18:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-02-27T18:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-02-28T18:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-02-29T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-03-01T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-03-02T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-03-03T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-03-04T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-03-05T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-03-06T18:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-03-07T18:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,0,
2020-03-08T18:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,28,
2020-03-09T18:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,32,
2020-03-10T18:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,34,
2020-03-11T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,26,
2020-03-12T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,29,
2020-03-13T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,38,
2020-03-14T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,41,
2020-03-15T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,45,
2020-03-16T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,60,
2020-03-17T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,65,
2020-03-18T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,65,
2020-03-19T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,94,
2020-03-20T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,96,
2020-03-21T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,106,
2020-03-22T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,116,
2020-03-23T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,124,
2020-03-24T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,152,
2020-03-25T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,165,
2020-03-26T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,177,
2020-03-27T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,179,
2020-03-28T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,186,
2020-03-29T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,197,
2020-03-30T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,206,
2020-03-31T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,221,
2020-04-01T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,238,
2020-04-02T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,255,
2020-04-03T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,264,
2020-04-04T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,279,
2020-04-05T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,300,
2020-04-06T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,308,
2020-04-07T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,331,
2020-04-08T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,349,
2020-04-09T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,352,
2020-04-10T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,359,
2020-04-11T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,368,
2020-04-12T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,375,
2020-04-13T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,381,
2020-04-14T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,387,
2020-04-15T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,390,
2020-04-16T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,393,
2020-04-17T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,393,
2020-04-18T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,397,
2020-04-19T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,397,
2020-04-20T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,400,
2020-04-21T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,403,
2020-04-22T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,404,
2020-04-23T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,404,
2020-04-24T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,407,
2020-04-25T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,414,
2020-04-26T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,415,
2020-04-27T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,416,
2020-04-28T17:00:00,ITA,15,Campania,061,Caserta,CE,41.07465878,14.33240464,417,
