data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-06-25T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,416,,,,
2020-06-26T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,559,,,,
2020-06-27T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,413,,,,
2020-06-28T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,414,,,,
2020-06-29T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,414,,,,
2020-06-30T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,412,,,,
2020-07-01T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,411,,,,
2020-07-02T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,410,,,,
2020-07-03T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,412,,,,
2020-07-04T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,411,,,,
2020-07-05T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,411,,,,
2020-07-06T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,412,,,,
2020-07-07T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,413,,,,
2020-07-08T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,416,,,,
2020-07-09T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,416,,,,
2020-07-10T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,415,,,,
2020-07-11T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,418,,,,
2020-07-12T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,420,,,,
2020-07-13T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,422,,,,
2020-07-14T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,420,,,,
2020-07-15T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,420,,,,
2020-07-16T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,419,,,,
2020-07-17T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,421,,,,
2020-07-18T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,419,,,,
2020-07-19T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,420,,,,
2020-07-20T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,421,,,,
2020-07-21T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,421,,,,
2020-07-22T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,421,,,,
2020-07-23T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,422,,,,
2020-07-24T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,423,,,,
2020-07-25T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,426,,,,
2020-07-26T17:00:00,ITA,08,Emilia-Romagna,884,Fuori_Regione__Provincia_Autonoma,,,,427,,,,
