data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,0,,,,
2020-02-25T18:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,0,,,,
2020-02-26T18:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,0,,,,
2020-02-27T18:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,0,,,,
2020-02-28T18:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,1,,,,
2020-02-29T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,1,,,,
2020-03-01T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,2,,,,
2020-03-02T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,2,,,,
2020-03-03T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,2,,,,
2020-03-04T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,2,,,,
2020-03-05T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,3,,,,
2020-03-06T18:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,8,,,,
2020-03-07T18:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,10,,,,
2020-03-08T18:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,13,,,,
2020-03-09T18:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,19,,,,
2020-03-10T18:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,24,,,,
2020-03-11T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,31,,,,
2020-03-12T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,41,,,,
2020-03-13T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,55,,,,
2020-03-14T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,78,,,,
2020-03-15T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,100,,,,
2020-03-16T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,114,,,,
2020-03-17T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,124,,,,
2020-03-18T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,153,,,,
2020-03-19T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,185,,,,
2020-03-20T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,213,,,,
2020-03-21T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,287,,,,
2020-03-22T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,309,,,,
2020-03-23T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,342,,,,
2020-03-24T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,368,,,,
2020-03-25T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,387,,,,
2020-03-26T17:00:00,ITA,08,Emilia-Romagna,039,Ravenna,RA,44.41722493,12.19913936,451,,,,
