data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,0,
2020-02-25T18:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,0,
2020-02-26T18:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,0,
2020-02-27T18:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,0,
2020-02-28T18:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,0,
2020-02-29T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,0,
2020-03-01T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,0,
2020-03-02T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,0,
2020-03-03T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,0,
2020-03-04T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,0,
2020-03-05T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,0,
2020-03-06T18:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,2,
2020-03-07T18:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,2,
2020-03-08T18:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,6,
2020-03-09T18:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,6,
2020-03-10T18:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,11,
2020-03-11T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,11,
2020-03-12T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,11,
2020-03-13T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,15,
2020-03-14T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,20,
2020-03-15T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,23,
2020-03-16T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,23,
2020-03-17T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,23,
2020-03-18T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,23,
2020-03-19T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,23,
2020-03-20T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,115,
2020-03-21T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,136,
2020-03-22T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,146,
2020-03-23T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,159,
2020-03-24T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,182,
2020-03-25T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,198,
2020-03-26T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,206,
2020-03-27T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,212,
2020-03-28T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,215,
2020-03-29T17:00:00,ITA,12,Lazio,059,Latina,LT,41.46759465,12.90368482,239,
