data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,0,
2020-02-25T18:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,0,
2020-02-26T18:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,0,
2020-02-27T18:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,0,
2020-02-28T18:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,0,
2020-02-29T17:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,0,
2020-03-01T17:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,1,
2020-03-02T17:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,1,
2020-03-03T17:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,1,
2020-03-04T17:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,1,
2020-03-05T17:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,1,
2020-03-06T18:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,9,
2020-03-07T18:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,15,
2020-03-08T18:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,25,
2020-03-09T18:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,38,
2020-03-10T18:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,42,
2020-03-11T17:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,63,
2020-03-12T17:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,92,
2020-03-13T17:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,128,
2020-03-14T17:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,231,
2020-03-15T17:00:00,ITA,07,Liguria,010,Genova,GE,44.41149314,8.9326992,274,
