data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    0 
2020-02-25T18:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    0 
2020-02-26T18:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    0 
2020-02-27T18:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    0 
2020-02-28T18:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    0 
2020-02-29T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    0 
2020-03-01T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    3 
2020-03-02T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    3 
2020-03-03T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    0 
2020-03-04T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    3 
2020-03-05T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-03-06T18:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    4 
2020-03-07T18:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    5 
2020-03-08T18:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    7 
2020-03-09T18:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    10 
2020-03-10T18:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    31 
2020-03-11T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    52 
2020-03-12T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    72 
2020-03-13T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    77 
2020-03-14T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    29 
2020-03-15T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    51 
2020-03-16T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    159 
2020-03-17T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    207 
2020-03-18T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    199 
2020-03-19T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    235 
2020-03-20T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    297 
2020-03-21T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    453 
2020-03-22T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    546 
2020-03-23T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    780 
2020-03-24T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    926 
2020-03-25T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    999 
2020-03-26T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1236 
2020-03-27T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1229 
2020-03-28T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1254 
2020-03-29T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1344 
2020-03-30T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1422 
2020-03-31T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1590 
2020-04-01T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1830 
2020-04-02T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1914 
2020-04-03T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    1975 
2020-04-04T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    2065 
2020-04-05T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    760 
2020-04-06T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    810 
2020-04-07T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    961 
2020-04-08T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    63 
2020-04-09T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    65 
2020-04-10T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    59 
2020-04-11T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    163 
2020-04-12T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    59 
2020-04-13T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    161 
2020-04-14T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    0 
2020-04-15T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    0 
2020-04-16T17:00:00 ITA 07 Liguria 987 In_fase_di_definizioneaggiornamento    0 
