data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,0,
2020-02-25T18:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,1,
2020-02-26T18:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,10,
2020-02-27T18:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,18,
2020-02-28T18:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,18,
2020-02-29T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,41,
2020-03-01T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,19,
2020-03-02T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,16,
2020-03-03T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,20,
2020-03-04T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,19,
2020-03-05T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,20,
2020-03-06T18:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,15,
2020-03-07T18:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,19,
2020-03-08T18:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,25,
2020-03-09T18:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,35,
2020-03-10T18:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,38,
2020-03-11T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,42,
2020-03-12T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,52,
2020-03-13T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,62,
2020-03-14T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,87,
2020-03-15T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,96,
2020-03-16T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,96,
2020-03-17T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,100,
2020-03-18T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,126,
2020-03-19T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,131,
2020-03-20T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,162,
2020-03-21T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,173,
2020-03-22T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,175,
2020-03-23T17:00:00,ITA,07,Liguria,009,Savona,SV,44.30750461,8.481108654,185,
