data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,0,
2020-02-25T18:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,0,
2020-02-26T18:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,0,
2020-02-27T18:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,0,
2020-02-28T18:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,0,
2020-02-29T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,0,
2020-03-01T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,2,
2020-03-02T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,3,
2020-03-03T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,4,
2020-03-04T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,5,
2020-03-05T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,8,
2020-03-06T18:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,11,
2020-03-07T18:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,35,
2020-03-08T18:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,53,
2020-03-09T18:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,66,
2020-03-10T18:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,89,
2020-03-11T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,113,
2020-03-12T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,199,
2020-03-13T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,237,
2020-03-14T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,287,
2020-03-15T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,344,
2020-03-16T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,386,
2020-03-17T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,440,
2020-03-18T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,466,
2020-03-19T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,530,
2020-03-20T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,676,
2020-03-21T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,818,
2020-03-22T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,872,
2020-03-23T17:00:00,ITA,03,Lombardia,097,Lecco,LC,45.85575781,9.393392246,934,
