data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,0,,,,
2020-02-25T18:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,125,,,,
2020-02-26T18:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,128,,,,
2020-02-27T18:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,159,,,,
2020-02-28T18:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,182,,,,
2020-02-29T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,237,,,,
2020-03-01T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,344,,,,
2020-03-02T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,384,,,,
2020-03-03T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,482,,,,
2020-03-04T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,559,,,,
2020-03-05T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,658,,,,
2020-03-06T18:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,739,,,,
2020-03-07T18:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,811,,,,
2020-03-08T18:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,853,,,,
2020-03-09T18:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,928,,,,
2020-03-10T18:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,963,,,,
2020-03-11T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1035,,,,
2020-03-12T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1123,,,,
2020-03-13T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1133,,,,
2020-03-14T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1276,,,,
2020-03-15T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1320,,,,
2020-03-16T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1362,,,,
2020-03-17T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1418,,,,
2020-03-18T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1445,,,,
2020-03-19T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1528,,,,
2020-03-20T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1597,,,,
2020-03-21T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1693,,,,
2020-03-22T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1772,,,,
2020-03-23T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1817,,,,
2020-03-24T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1860,,,,
2020-03-25T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1884,,,,
2020-03-26T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,1968,,,,
2020-03-27T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2006,,,,
2020-03-28T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2029,,,,
2020-03-29T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2057,,,,
2020-03-30T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2087,,,,
2020-03-31T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2116,,,,
2020-04-01T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2157,,,,
2020-04-02T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2189,,,,
2020-04-03T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2214,,,,
2020-04-04T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2238,,,,
2020-04-05T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2255,,,,
2020-04-06T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2278,,,,
2020-04-07T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2321,,,,
2020-04-08T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2347,,,,
2020-04-09T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2376,,,,
2020-04-10T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2419,,,,
2020-04-11T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2472,,,,
2020-04-12T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2543,,,,
2020-04-13T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2559,,,,
2020-04-14T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2569,,,,
2020-04-15T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2587,,,,
2020-04-16T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2626,,,,
2020-04-17T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2678,,,,
2020-04-18T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2714,,,,
2020-04-19T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2724,,,,
2020-04-20T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2740,,,,
2020-04-21T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2751,,,,
2020-04-22T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2787,,,,
2020-04-23T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2833,,,,
2020-04-24T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2836,,,,
2020-04-25T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2903,,,,
2020-04-26T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2926,,,,
2020-04-27T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2936,,,,
2020-04-28T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2947,,,,
2020-04-29T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2959,,,,
2020-04-30T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2966,,,,
2020-05-01T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,2994,,,,
2020-05-02T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3017,,,,
2020-05-03T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3047,,,,
2020-05-04T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3062,,,,
2020-05-05T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3114,,,,
2020-05-06T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3155,,,,
2020-05-07T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3204,,,,
2020-05-08T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3222,,,,
2020-05-09T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3264,,,,
2020-05-10T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3271,,,,
2020-05-11T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3277,,,,
2020-05-12T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3293,,,,
2020-05-13T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3301,,,,
2020-05-14T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3313,,,,
2020-05-15T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3325,,,,
2020-05-16T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3341,,,,
2020-05-17T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3351,,,,
2020-05-18T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3353,,,,
2020-05-19T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3369,,,,
2020-05-20T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3380,,,,
2020-05-21T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3387,,,,
2020-05-22T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3392,,,,
2020-05-23T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3400,,,,
2020-05-24T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3403,,,,
2020-05-25T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3406,,,,
2020-05-26T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3412,,,,
2020-05-27T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3434,,,,
2020-05-28T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3447,,,,
2020-05-29T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3458,,,,
2020-05-30T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3468,,,,
2020-05-31T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3474,,,,
2020-06-01T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3474,,,,
2020-06-02T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3476,,,,
2020-06-03T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3483,,,,
2020-06-04T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3485,,,,
2020-06-05T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3495,,,,
2020-06-06T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3498,,,,
2020-06-07T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3500,,,,
2020-06-08T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3502,,,,
2020-06-09T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3511,,,,
2020-06-10T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3515,,,,
2020-06-11T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3522,,,,
2020-06-12T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3533,,,,
2020-06-13T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3534,,,,
2020-06-14T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3539,,,,
2020-06-15T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3541,,,,
2020-06-16T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3549,,,,
2020-06-17T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3552,,,,
2020-06-18T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3552,,,,
2020-06-19T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3554,,,,
2020-06-20T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3554,,,,
2020-06-21T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3557,,,,
2020-06-22T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3558,,,,
2020-06-23T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3559,,,,
2020-06-24T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3565,,,,
2020-06-25T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3566,,,,
2020-06-26T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3569,,,,
2020-06-27T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3569,,,,
2020-06-28T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3569,,,,
2020-06-29T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3569,,,,
2020-06-30T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3570,,,,
2020-07-01T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3575,,,,
2020-07-02T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3578,,,,
2020-07-03T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3582,,,,
2020-07-04T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3586,,,,
2020-07-05T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3588,,,,
2020-07-06T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3588,,,,
2020-07-07T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3591,,,,
2020-07-08T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3595,,,,
2020-07-09T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3595,,,,
2020-07-10T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3598,,,,
2020-07-11T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3602,,,,
2020-07-12T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3602,,,,
2020-07-13T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3602,,,,
2020-07-14T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3603,,,,
2020-07-15T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3604,,,,
2020-07-16T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3605,,,,
2020-07-17T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3609,,,,
2020-07-18T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3617,,,,
2020-07-19T17:00:00,ITA,03,Lombardia,098,Lodi,LO,45.31440693,9.503720769,3617,,,,
