data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,0,
2020-02-25T18:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,1,
2020-02-26T18:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,3,
2020-02-27T18:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,3,
2020-02-28T18:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,3,
2020-02-29T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,3,
2020-03-01T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,3,
2020-03-02T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,3,
2020-03-03T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,3,
2020-03-04T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,4,
2020-03-05T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,4,
2020-03-06T18:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,4,
2020-03-07T18:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,6,
2020-03-08T18:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,6,
2020-03-09T18:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,7,
2020-03-10T18:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,7,
2020-03-11T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,13,
2020-03-12T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,23,
2020-03-13T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,23,
2020-03-14T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,45,
2020-03-15T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,45,
2020-03-16T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,46,
2020-03-17T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,74,
2020-03-18T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,75,
2020-03-19T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,155,
2020-03-20T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,163,
2020-03-21T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,179,
2020-03-22T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,205,
2020-03-23T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,208,
2020-03-24T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,253,
2020-03-25T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,284,
2020-03-26T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,325,
2020-03-27T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,362,
2020-03-28T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,388,
2020-03-29T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,422,
2020-03-30T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,446,
2020-03-31T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,470,
2020-04-01T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,484,
2020-04-02T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,517,
2020-04-03T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,537,
2020-04-04T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,563,
2020-04-05T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,591,
2020-04-06T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,614,
2020-04-07T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,620,
2020-04-08T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,636,
2020-04-09T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,654,
2020-04-10T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,661,
2020-04-11T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,684,
2020-04-12T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,720,
2020-04-13T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,796,
2020-04-14T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,849,
2020-04-15T17:00:00,ITA,03,Lombardia,014,Sondrio,SO,46.17099261,9.87147489,859,
