data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,0,,,,
2020-02-25T18:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,0,,,,
2020-02-26T18:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,0,,,,
2020-02-27T18:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,0,,,,
2020-02-28T18:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,3,,,,
2020-02-29T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,4,,,,
2020-03-01T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,4,,,,
2020-03-02T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,4,,,,
2020-03-03T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,7,,,,
2020-03-04T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,11,,,,
2020-03-05T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,17,,,,
2020-03-06T18:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,23,,,,
2020-03-07T18:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,27,,,,
2020-03-08T18:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,32,,,,
2020-03-09T18:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,44,,,,
2020-03-10T18:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,50,,,,
2020-03-11T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,75,,,,
2020-03-12T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,98,,,,
2020-03-13T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,125,,,,
2020-03-14T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,158,,,,
2020-03-15T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,184,,,,
2020-03-16T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,202,,,,
2020-03-17T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,234,,,,
2020-03-18T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,265,,,,
2020-03-19T17:00:00,ITA,03,Lombardia,012,Varese,VA,45.81701677,8.822868344,310,,,,
