data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,0,,,,
2020-02-25T18:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,0,,,,
2020-02-26T18:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,0,,,,
2020-02-27T18:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,0,,,,
2020-02-28T18:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,0,,,,
2020-02-29T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,0,,,,
2020-03-01T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1,,,,
2020-03-02T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,2,,,,
2020-03-03T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,5,,,,
2020-03-04T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,9,,,,
2020-03-05T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,19,,,,
2020-03-06T18:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,23,,,,
2020-03-07T18:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,38,,,,
2020-03-08T18:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,54,,,,
2020-03-09T18:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,63,,,,
2020-03-10T18:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,81,,,,
2020-03-11T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,110,,,,
2020-03-12T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,142,,,,
2020-03-13T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,158,,,,
2020-03-14T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,215,,,,
2020-03-15T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,267,,,,
2020-03-16T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,323,,,,
2020-03-17T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,356,,,,
2020-03-18T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,403,,,,
2020-03-19T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,447,,,,
2020-03-20T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,513,,,,
2020-03-21T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,564,,,,
2020-03-22T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,676,,,,
2020-03-23T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,702,,,,
2020-03-24T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,751,,,,
2020-03-25T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,820,,,,
2020-03-26T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,869,,,,
2020-03-27T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,905,,,,
2020-03-28T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,944,,,,
2020-03-29T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1019,,,,
2020-03-30T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1060,,,,
2020-03-31T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1116,,,,
2020-04-01T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1174,,,,
2020-04-02T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1211,,,,
2020-04-03T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1263,,,,
2020-04-04T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1290,,,,
2020-04-05T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1356,,,,
2020-04-06T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1401,,,,
2020-04-07T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1429,,,,
2020-04-08T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1455,,,,
2020-04-09T17:00:00,ITA,11,Marche,042,Ancona,AN,43.61675973,13.5188753,1481,,,,
