data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,0,,,,
2020-02-25T18:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1,,,,
2020-02-26T18:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1,,,,
2020-02-27T18:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1,,,,
2020-02-28T18:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1,,,,
2020-02-29T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1,,,,
2020-03-01T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1,,,,
2020-03-02T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1,,,,
2020-03-03T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1,,,,
2020-03-04T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1,,,,
2020-03-05T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1,,,,
2020-03-06T18:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,4,,,,
2020-03-07T18:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,9,,,,
2020-03-08T18:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,9,,,,
2020-03-09T18:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,9,,,,
2020-03-10T18:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,38,,,,
2020-03-11T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,75,,,,
2020-03-12T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,104,,,,
2020-03-13T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,125,,,,
2020-03-14T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,173,,,,
2020-03-15T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,204,,,,
2020-03-16T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,241,,,,
2020-03-17T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,291,,,,
2020-03-18T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,376,,,,
2020-03-19T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,436,,,,
2020-03-20T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,548,,,,
2020-03-21T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,621,,,,
2020-03-22T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,678,,,,
2020-03-23T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,724,,,,
2020-03-24T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,781,,,,
2020-03-25T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,858,,,,
2020-03-26T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,906,,,,
2020-03-27T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1003,,,,
2020-03-28T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1109,,,,
2020-03-29T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1214,,,,
2020-03-30T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1325,,,,
2020-03-31T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1371,,,,
2020-04-01T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1418,,,,
2020-04-02T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1479,,,,
2020-04-03T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1559,,,,
2020-04-04T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1592,,,,
2020-04-05T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1644,,,,
2020-04-06T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1722,,,,
2020-04-07T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1811,,,,
2020-04-08T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1835,,,,
2020-04-09T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1903,,,,
2020-04-10T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1955,,,,
2020-04-11T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,1957,,,,
2020-04-12T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2098,dc-IT-0001,,,
2020-04-13T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2149,,,,
2020-04-14T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2184,,,,
2020-04-15T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2224,,,,
2020-04-16T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2267,,,,
2020-04-17T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2296,,,,
2020-04-18T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2325,,,,
2020-04-19T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2380,,,,
2020-04-20T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2394,,,,
2020-04-21T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2410,,,,
2020-04-22T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2416,,,,
2020-04-23T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2435,,,,
2020-04-24T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2456,,,,
2020-04-25T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2476,,,,
2020-04-26T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2481,,,,
2020-04-27T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2496,,,,
2020-04-28T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2498,,,,
2020-04-29T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2507,,,,
2020-04-30T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2518,,,,
2020-05-01T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2528,,,,
2020-05-02T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2535,,,,
2020-05-03T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2536,,,,
2020-05-04T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2541,,,,
2020-05-05T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2542,,,,
2020-05-06T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2543,,,,
2020-05-07T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2552,,,,
2020-05-08T17:00:00,ITA,21,P.A._Bolzano,021,Bolzano,BZ,46.49933453,11.35662422,2558,,,,
