data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2020-02-24T18:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,,,0,3,,,,,,,,,,,
2020-02-25T18:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,,,0,3,,,,,,,,,,,
2020-02-26T18:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,,,0,3,,,,,,,,,,,
2020-02-27T18:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,,,0,32,,,,,,,,,,,
2020-02-28T18:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,,,0,32,,,,,,,,,,,
2020-02-29T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,,,0,43,,,,,,,,,,,
2020-03-01T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,,,0,122,,,,,,,,,,,
2020-03-02T18:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,,,0,122,,,,,,,,,,,
2020-03-03T18:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,1,0,1,3,4,4,4,0,0,,,4,122,,,,,,,,,,,
2020-03-04T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,1,0,1,4,5,1,1,0,0,,,5,122,,,,,,,,,,,
2020-03-05T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,2,0,2,5,7,2,2,0,0,,,7,122,,,,,,,,,,,
2020-03-06T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,4,0,4,6,10,3,3,0,0,,,10,122,,,,,,,,,,,
2020-03-07T18:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,6,1,7,7,14,4,4,0,0,,,14,194,,,,,,,,,,,
2020-03-08T18:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,7,2,9,14,23,9,9,0,0,,,23,228,,,,,,,,,,,
2020-03-09T18:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,10,2,12,21,33,10,10,0,0,,,33,267,,,,,,,,,,,
2020-03-10T18:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,19,3,22,28,50,17,19,2,0,,,52,399,,,,,,,,,,,
2020-03-11T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,28,4,32,42,74,24,25,3,0,,,77,527,,,,,,,,,,,
2020-03-12T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,43,5,48,54,102,28,30,4,1,,,107,593,,,,,,,,,,,
2020-03-13T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,58,6,64,93,157,55,56,4,2,,,163,846,,,,,,,,,,,
2020-03-14T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,68,12,80,119,199,42,43,5,2,,,206,1006,,,,,,,,,,,
2020-03-15T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,73,19,92,275,367,168,172,5,6,,,378,1006,,,,,,,,,,,
2020-03-16T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,73,19,92,275,367,0,0,5,6,,,378,1006,,nd-IT-0003,,,,,,,,,
2020-03-17T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,107,22,129,239,368,1,7,10,7,,,385,1727,,,,,,,,,,,
2020-03-18T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,141,22,163,273,436,68,70,12,7,,,455,2187,,,,,,,,,,,
2020-03-19T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,169,30,199,292,491,55,68,20,12,,,523,2203,,,,,,,,,,,
2020-03-20T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,198,34,232,368,600,109,119,29,13,,,642,2656,,,,,,,,,,,
2020-03-21T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,233,39,272,448,720,120,140,34,28,,,782,2656,,,,,,,,,,,
2020-03-22T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,235,46,281,604,885,165,172,34,35,,,954,3050,,,,,,,,,,,
2020-03-23T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,249,46,295,619,914,29,69,68,41,,,1023,3150,,,,,,,,,,,
2020-03-24T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,308,49,357,618,975,61,87,79,56,,,1110,3712,,,,,,,,,,,
2020-03-25T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,308,65,373,685,1058,83,112,90,74,,,1222,4114,,,,,,,,,,,
2020-03-26T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,300,66,366,728,1094,36,75,117,86,,,1297,4600,,,,,,,,,,,
2020-03-27T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,341,66,407,757,1164,70,94,125,102,,,1391,4923,,,,,,,,,,,
2020-03-28T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,351,72,423,811,1234,70,114,151,120,,,1505,5561,,,,,,,,,,,
2020-03-29T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,356,75,431,862,1293,59,89,172,129,,,1594,5950,,,,,,,,,,,
2020-03-30T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,353,78,431,926,1357,64,88,178,147,,,1682,6377,,,,,,,,,,,
2020-03-31T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,354,80,434,955,1389,32,64,193,164,,,1746,6973,,,,,,,,,,,
2020-04-01T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,345,76,421,1062,1483,94,124,214,173,,,1870,7675,,,,,,,,,,,
2020-04-02T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,339,78,417,1170,1587,104,133,229,187,,,2003,8496,,,,,,,,,,,
2020-04-03T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,343,80,423,1236,1659,72,106,246,204,,,2109,8993,,,,,,,,,,,
2020-04-04T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,353,81,434,1319,1753,94,111,257,210,,,2220,9863,,,,,,,,,,,
2020-04-05T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,352,80,432,1363,1795,42,65,273,217,,,2285,10476,,,,,,,,,,,
2020-04-06T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,354,79,433,1405,1838,43,63,280,230,,,2348,11130,,,,,,,,,,,
2020-04-07T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,360,78,438,1452,1890,52,128,342,244,,,2476,12030,,,,,,,,,,,
2020-04-08T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,354,77,431,1509,1940,50,126,407,255,,,2602,13258,,,,,,,,,,,
2020-04-09T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,345,69,414,1564,1978,38,106,462,268,,,2708,14338,,,,,,,,,,,
2020-04-10T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,335,70,405,1589,1994,16,108,547,275,,,2816,14981,,,,,,,,,,,
2020-04-11T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,335,62,397,1667,2064,70,154,622,284,,,2970,16646,,,,,,,,,,,
2020-04-12T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,322,61,383,1699,2082,18,83,678,293,,,3053,17797,,,,,,,,,,,
2020-04-13T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,326,56,382,1698,2080,-2,73,746,300,,,3126,18586,,,,,,,,,,,
2020-04-14T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,325,54,379,1703,2082,2,15,749,310,,,3141,18774,,,,,,,,,,,
2020-04-15T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,312,48,360,1744,2104,22,79,798,318,,,3220,19535,,,,,,,,,,,
2020-04-16T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,296,43,339,1748,2087,-17,74,885,322,,,3294,20773,,,,,,,,,,,
2020-04-17T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,286,44,330,1660,1990,-97,82,1044,342,,,3376,21921,,,,,,,,,,,
2020-04-18T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,276,42,318,1667,1985,-5,55,1098,348,,,3431,23147,,,,,,,,,,,
2020-04-19T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,278,41,319,1652,1971,-14,101,1201,360,,,3532,24388,16685,,,,,,,,,,
2020-04-20T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,272,40,312,1617,1929,-42,58,1295,366,,,3590,26211,17347,,,,,,,,,,
2020-04-21T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,254,38,292,1617,1909,-20,24,1329,376,,,3614,26610,17705,,,,,,,,,,
2020-04-22T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,245,34,279,1595,1874,-35,32,1391,381,,,3646,26674,17672,,,,,,,,,,
2020-04-23T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,234,29,263,1608,1871,-3,81,1474,382,,,3727,28240,18656,,,,,,,,,,
2020-04-24T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,224,28,252,1575,1827,-44,49,1560,389,,,3776,29779,19250,,,,,,,,,,
2020-04-25T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,202,27,229,1515,1744,-83,62,1694,400,,,3838,30661,19394,,,,,,,,,,
2020-04-26T17:00:00,ITA,22,P.A._Trento,46.06893511,11.12123097,199,24,223,1459,1682,-62,56,1807,405,,,3894,32142,19902,,,,,,,,,,
