data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,0,
2020-02-25T18:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,0,
2020-02-26T18:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,0,
2020-02-27T18:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,0,
2020-02-28T18:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,0,
2020-02-29T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,0,
2020-03-01T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,0,
2020-03-02T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,0,
2020-03-03T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,1,
2020-03-04T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,16,
2020-03-05T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,22,
2020-03-06T18:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,32,
2020-03-07T18:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,40,
2020-03-08T18:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,60,
2020-03-09T18:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,63,
2020-03-10T18:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,65,
2020-03-11T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,105,
2020-03-12T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,132,
2020-03-13T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,136,
2020-03-14T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,182,
2020-03-15T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,207,
2020-03-16T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,273,
2020-03-17T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,323,
2020-03-18T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,374,
2020-03-19T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,374,
2020-03-20T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,595,
2020-03-21T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,654,
2020-03-22T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,760,
2020-03-23T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,817,
2020-03-24T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,946,
2020-03-25T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,946,
2020-03-26T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,980,
2020-03-27T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,1106,
2020-03-28T17:00:00,ITA,01,Piemonte,006,Alessandria,AL,44.91297351,8.615401155,1197,
