data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,0,,,,
2020-02-25T18:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,0,,,,
2020-02-26T18:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,0,,,,
2020-02-27T18:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,0,,,,
2020-02-28T18:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,0,,,,
2020-02-29T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,0,,,,
2020-03-01T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,0,,,,
2020-03-02T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,0,,,,
2020-03-03T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,0,,,,
2020-03-04T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,0,,,,
2020-03-05T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,2,,,,
2020-03-06T18:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,3,,,,
2020-03-07T18:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,6,,,,
2020-03-08T18:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,19,,,,
2020-03-09T18:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,18,,,,
2020-03-10T18:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,20,,,,
2020-03-11T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,36,,,,
2020-03-12T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,39,,,,
2020-03-13T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,48,,,,
2020-03-14T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,48,,,,
2020-03-15T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,50,,,,
2020-03-16T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,67,,,,
2020-03-17T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,96,,,,
2020-03-18T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,109,,,,
2020-03-19T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,109,,,,
2020-03-20T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,175,,,,
2020-03-21T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,182,,,,
2020-03-22T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,243,,,,
2020-03-23T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,253,,,,
2020-03-24T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,280,,,,
2020-03-25T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,327,,,,
2020-03-26T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,336,,,,
2020-03-27T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,367,,,,
2020-03-28T17:00:00,ITA,01,Piemonte,096,Biella,BI,45.5665112,8.054082167,399,,,,
