data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,0,,,,
2020-02-25T18:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,0,,,,
2020-02-26T18:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,0,,,,
2020-02-27T18:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,0,,,,
2020-02-28T18:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,0,,,,
2020-02-29T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,0,,,,
2020-03-01T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,0,,,,
2020-03-02T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,0,,,,
2020-03-03T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,0,,,,
2020-03-04T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,3,,,,
2020-03-05T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,6,,,,
2020-03-06T18:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,6,,,,
2020-03-07T18:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,30,,,,
2020-03-08T18:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,88,,,,
2020-03-09T18:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,77,,,,
2020-03-10T18:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,134,,,,
2020-03-11T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,52,,,,
2020-03-12T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,54,,,,
2020-03-13T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,135,,,,
2020-03-14T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,89,,,,
2020-03-15T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,142,,,,
2020-03-16T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,190,,,,
2020-03-17T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,181,,,,
2020-03-18T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,156,,,,
2020-03-19T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,747,,,,
2020-03-20T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,125,,,,
2020-03-21T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,116,,,,
2020-03-22T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,145,,,,
2020-03-23T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,144,,,,
2020-03-24T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,159,,,,
2020-03-25T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,164,,,,
2020-03-26T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,173,,,,
2020-03-27T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,182,,,,
2020-03-28T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,179,,,,
2020-03-29T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,194,,,,
2020-03-30T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,201,,,,
2020-03-31T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,211,,,,
2020-04-01T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,212,,,,
2020-04-02T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,218,,,,
2020-04-03T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,195,,,,
2020-04-04T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,210,,,,
2020-04-05T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,229,,,,
2020-04-06T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,239,,,,
2020-04-07T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,247,,,,
2020-04-08T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,259,,,,
2020-04-09T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,254,,,,
2020-04-10T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,262,,,,
2020-04-11T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,276,,,,
2020-04-12T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,283,,,,
2020-04-13T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,293,,,,
2020-04-14T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,297,,,,
2020-04-15T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,302,,,,
2020-04-16T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,307,,,,
2020-04-17T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,315,,,,
2020-04-18T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,332,,,,
2020-04-19T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,333,,,,
2020-04-20T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,335,,,,
2020-04-21T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,339,,,,
2020-04-22T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,348,,,,
2020-04-23T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,354,,,,
2020-04-24T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,362,,,,
2020-04-25T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,373,,,,
2020-04-26T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,378,,,,
2020-04-27T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,381,,,,
2020-04-28T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,333,,,,
2020-04-29T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,339,,,,
2020-04-30T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,347,,,,
2020-05-01T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,347,,,,
2020-05-02T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,358,,,,
2020-05-03T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,351,,,,
2020-05-04T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,358,,,,
2020-05-05T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,359,,,,
2020-05-06T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,357,,,,
2020-05-07T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,354,,,,
2020-05-08T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,360,,,,
2020-05-09T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,364,,,,
2020-05-10T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,365,,,,
2020-05-11T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,364,,,,
2020-05-12T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,363,,,,
2020-05-13T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,368,,,,
2020-05-14T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,366,,,,
2020-05-15T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,354,,,,
2020-05-16T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,351,,,,
2020-05-17T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,345,,,,
2020-05-18T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,350,,,,
2020-05-19T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,351,,,,
2020-05-20T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,352,,,,
2020-05-21T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,354,,,,
2020-05-22T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,356,,,,
2020-05-23T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,355,,,,
2020-05-24T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,356,,,,
2020-05-25T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,357,,,,
2020-05-26T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,348,,,,
2020-05-27T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,347,,,,
2020-05-28T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,344,,,,
2020-05-29T17:00:00,ITA,01,Piemonte,991,In_fase_di_definizioneaggiornamento,,,,345,,,,
