data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,0,
2020-02-25T18:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,0,
2020-02-26T18:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,0,
2020-02-27T18:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,0,
2020-02-28T18:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,0,
2020-02-29T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,0,
2020-03-01T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,0,
2020-03-02T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,3,
2020-03-03T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,3,
2020-03-04T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,3,
2020-03-05T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,3,
2020-03-06T18:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,4,
2020-03-07T18:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,5,
2020-03-08T18:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,13,
2020-03-09T18:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,14,
2020-03-10T18:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,22,
2020-03-11T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,27,
2020-03-12T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,32,
2020-03-13T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,48,
2020-03-14T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,48,
2020-03-15T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,71,
2020-03-16T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,109,
2020-03-17T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,150,
2020-03-18T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,190,
2020-03-19T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,190,
2020-03-20T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,293,
2020-03-21T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,330,
2020-03-22T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,398,
2020-03-23T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,420,
2020-03-24T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,471,
2020-03-25T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,517,
2020-03-26T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,577,
2020-03-27T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,609,
2020-03-28T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,657,
2020-03-29T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,694,
2020-03-30T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,733,
2020-03-31T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,797,
2020-04-01T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,854,
2020-04-02T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,902,
2020-04-03T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,930,
2020-04-04T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,967,
2020-04-05T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,986,
2020-04-06T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1008,
2020-04-07T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1073,
2020-04-08T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1146,
2020-04-09T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1218,
2020-04-10T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1258,
2020-04-11T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1540,
2020-04-12T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1605,
2020-04-13T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1612,
2020-04-14T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1638,
2020-04-15T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1708,
2020-04-16T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1825,
2020-04-17T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1855,
2020-04-18T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1941,
2020-04-19T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1987,
2020-04-20T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,1996,
2020-04-21T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2028,
2020-04-22T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2123,
2020-04-23T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2143,
2020-04-24T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2172,
2020-04-25T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2203,
2020-04-26T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2209,
2020-04-27T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2218,
2020-04-28T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2244,
2020-04-29T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2265,
2020-04-30T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2291,
2020-05-01T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2333,
2020-05-02T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2365,
2020-05-03T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2371,
2020-05-04T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2377,
2020-05-05T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2394,
2020-05-06T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2399,
2020-05-07T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2434,
2020-05-08T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2442,
2020-05-09T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2468,
2020-05-10T17:00:00,ITA,01,Piemonte,003,Novara,NO,45.44588506,8.621915884,2475,
