data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,0,
2020-02-25T18:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,0,
2020-02-26T18:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,0,
2020-02-27T18:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,0,
2020-02-28T18:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,0,
2020-02-29T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,0,
2020-03-01T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,0,
2020-03-02T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,1,
2020-03-03T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,1,
2020-03-04T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,3,
2020-03-05T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,8,
2020-03-06T18:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,7,
2020-03-07T18:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,10,
2020-03-08T18:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,15,
2020-03-09T18:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,11,
2020-03-10T18:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,18,
2020-03-11T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,24,
2020-03-12T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,25,
2020-03-13T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,29,
2020-03-14T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,31,
2020-03-15T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,84,
2020-03-16T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,99,
2020-03-17T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,113,
2020-03-18T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,131,
2020-03-19T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,131,
2020-03-20T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,203,
2020-03-21T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,210,
2020-03-22T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,242,
2020-03-23T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,263,
2020-03-24T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,290,
2020-03-25T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,308,
2020-03-26T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,336,
2020-03-27T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,358,
2020-03-28T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,397,
2020-03-29T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,426,
2020-03-30T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,449,
2020-03-31T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,473,
2020-04-01T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,488,
2020-04-02T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,520,
2020-04-03T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,565,
2020-04-04T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,583,
2020-04-05T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,605,
2020-04-06T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,647,
2020-04-07T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,665,
2020-04-08T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,678,
2020-04-09T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,693,
2020-04-10T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,708,
2020-04-11T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,789,
2020-04-12T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,817,
2020-04-13T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,830,
2020-04-14T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,839,
2020-04-15T17:00:00,ITA,01,Piemonte,002,Vercelli,VC,45.32398135,8.423234312,847,
