data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,0,,,,
2020-02-25T18:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,0,,,,
2020-02-26T18:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,0,,,,
2020-02-27T18:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,0,,,,
2020-02-28T18:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-02-29T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-03-01T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-03-02T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-03-03T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-03-04T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-03-05T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-03-06T18:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-03-07T18:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-03-08T18:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-03-09T18:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-03-10T18:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,3,,,,
2020-03-11T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,4,,,,
2020-03-12T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,6,,,,
2020-03-13T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,8,,,,
2020-03-14T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,8,,,,
2020-03-15T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,10,,,,
2020-03-16T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,10,,,,
2020-03-17T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,17,,,,
2020-03-18T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,19,,,,
2020-03-19T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,23,,,,
2020-03-20T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,33,,,,
2020-03-21T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,35,,,,
2020-03-22T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,41,,,,
2020-03-23T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,46,,,,
2020-03-24T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,51,,,,
2020-03-25T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,56,,,,
2020-03-26T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,74,,,,
2020-03-27T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,78,,,,
2020-03-28T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,93,,,,
2020-03-29T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,99,,,,
2020-03-30T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,121,,,,
2020-03-31T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,126,,,,
2020-04-01T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,148,,,,
2020-04-02T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,163,,,,
2020-04-03T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,178,,,,
2020-04-04T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,180,,,,
2020-04-05T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,182,,,,
2020-04-06T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,190,,,,
2020-04-07T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,192,,,,
2020-04-08T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,201,,,,
2020-04-09T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,206,,,,
2020-04-10T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,208,,,,
2020-04-11T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,218,,,,
2020-04-12T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,221,,,,
2020-04-13T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,225,,,,
2020-04-14T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,226,,,,
2020-04-15T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,228,,,,
2020-04-16T17:00:00,ITA,16,Puglia,073,Taranto,TA,40.47354739,17.23237181,235,,,,
