data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,0,,,,
2020-02-25T18:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,3,,,,
2020-02-26T18:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,3,,,,
2020-02-27T18:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,3,,,,
2020-02-28T18:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,3,,,,
2020-02-29T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,3,,,,
2020-03-01T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,3,,,,
2020-03-02T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,3,,,,
2020-03-03T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,3,,,,
2020-03-04T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,3,,,,
2020-03-05T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,3,,,,
2020-03-06T18:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,5,,,,
2020-03-07T18:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,6,,,,
2020-03-08T18:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,6,,,,
2020-03-09T18:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,6,,,,
2020-03-10T18:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,10,,,,
2020-03-11T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,15,,,,
2020-03-12T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,26,,,,
2020-03-13T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,26,,,,
2020-03-14T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,26,,,,
2020-03-15T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,33,,,,
2020-03-16T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,37,,,,
2020-03-17T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,40,,,,
2020-03-18T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,47,,,,
2020-03-19T17:00:00,ITA,19,Sicilia,082,Palermo,PA,38.11569725,13.362356699999998,52,,,,
