data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,0,,,,
2020-02-25T18:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1,,,,
2020-02-26T18:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2,,,,
2020-02-27T18:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1,,,,
2020-02-28T18:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,7,,,,
2020-02-29T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,5,,,,
2020-03-01T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,5,,,,
2020-03-02T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,4,,,,
2020-03-03T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,7,,,,
2020-03-04T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,12,,,,
2020-03-05T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,20,,,,
2020-03-06T18:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,23,,,,
2020-03-07T18:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,27,,,,
2020-03-08T18:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,39,,,,
2020-03-09T18:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,51,,,,
2020-03-10T18:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,61,,,,
2020-03-11T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,71,,,,
2020-03-12T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,86,,,,
2020-03-13T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,101,,,,
2020-03-14T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,132,,,,
2020-03-15T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,162,,,,
2020-03-16T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,186,,,,
2020-03-17T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,214,,,,
2020-03-18T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,295,,,,
2020-03-19T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,349,,,,
2020-03-20T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,401,,,,
2020-03-21T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,451,,,,
2020-03-22T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,514,,,,
2020-03-23T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,548,,,,
2020-03-24T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,622,,,,
2020-03-25T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,709,,,,
2020-03-26T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,764,,,,
2020-03-27T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,764,,,,
2020-03-28T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,855,,,,
2020-03-29T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,957,,,,
2020-03-30T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1022,,,,
2020-03-31T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1087,,,,
2020-04-01T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1158,,,,
2020-04-02T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1419,,,,
2020-04-03T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1543,,,,
2020-04-04T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1626,,,,
2020-04-05T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1715,,,,
2020-04-06T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1769,,,,
2020-04-07T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1805,,,,
2020-04-08T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1871,,,,
2020-04-09T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,1961,,,,
2020-04-10T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2069,,,,
2020-04-11T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2154,,,,
2020-04-12T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2259,,,,
2020-04-13T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2269,,,,
2020-04-14T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2311,,,,
2020-04-15T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2372,,,,
2020-04-16T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2443,,,,
2020-04-17T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2494,,,,
2020-04-18T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2563,,,,
2020-04-19T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2609,,,,
2020-04-20T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2653,,,,
2020-04-21T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2704,,,,
2020-04-22T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2760,,,,
2020-04-23T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2795,,,,
2020-04-24T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2849,,,,
2020-04-25T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,2924,,,,
2020-04-26T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,3003,,,,
2020-04-27T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,3011,,,,
2020-04-28T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,3039,,,,
2020-04-29T17:00:00,ITA,09,Toscana,048,Firenze,FI,43.76923077,11.25588885,3079,,,,
