data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,0,
2020-02-25T18:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,0,
2020-02-26T18:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,0,
2020-02-27T18:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,0,
2020-02-28T18:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,0,
2020-02-29T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,0,
2020-03-01T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,0,
2020-03-02T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,0,
2020-03-03T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,0,
2020-03-04T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,0,
2020-03-05T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,2,
2020-03-06T18:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,2,
2020-03-07T18:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,2,
2020-03-08T18:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,4,
2020-03-09T18:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,6,
2020-03-10T18:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,10,
2020-03-11T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,12,
2020-03-12T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,16,
2020-03-13T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,16,
2020-03-14T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,31,
2020-03-15T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,38,
2020-03-16T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,50,
2020-03-17T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,60,
2020-03-18T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,68,
2020-03-19T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,89,
2020-03-20T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,97,
2020-03-21T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,106,
2020-03-22T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,120,
2020-03-23T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,128,
2020-03-24T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,140,
2020-03-25T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,147,
2020-03-26T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,174,
2020-03-27T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,174,
2020-03-28T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,234,
2020-03-29T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,245,
2020-03-30T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,251,
2020-03-31T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,257,
2020-04-01T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,263,
2020-04-02T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,264,
2020-04-03T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,264,
2020-04-04T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,273,
2020-04-05T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,277,
2020-04-06T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,284,
2020-04-07T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,290,
2020-04-08T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,290,
2020-04-09T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,292,
2020-04-10T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,310,
2020-04-11T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,323,
2020-04-12T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,327,
2020-04-13T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,368,
2020-04-14T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,368,
2020-04-15T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,368,
2020-04-16T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,368,
2020-04-17T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,376,
2020-04-18T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,379,
2020-04-19T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,380,
2020-04-20T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,383,
2020-04-21T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,386,
2020-04-22T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,389,
2020-04-23T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,394,
2020-04-24T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,397,
2020-04-25T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,400,
2020-04-26T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,400,
2020-04-27T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,402,
2020-04-28T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,404,
2020-04-29T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,405,
2020-04-30T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,406,
2020-05-01T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,407,
2020-05-02T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,407,
2020-05-03T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,409,
2020-05-04T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,413,
2020-05-05T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,415,
2020-05-06T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,416,
2020-05-07T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,416,
2020-05-08T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,417,
2020-05-09T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,417,
2020-05-10T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,421,
2020-05-11T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,421,
2020-05-12T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,421,
2020-05-13T17:00:00,ITA,09,Toscana,053,Grosseto,GR,42.76026758,11.11356398,421,
