data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,0,,,,
2020-02-25T18:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,0,,,,
2020-02-26T18:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,0,,,,
2020-02-27T18:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,0,,,,
2020-02-28T18:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,0,,,,
2020-02-29T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,1,,,,
2020-03-01T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,1,,,,
2020-03-02T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,1,,,,
2020-03-03T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,3,,,,
2020-03-04T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,3,,,,
2020-03-05T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,6,,,,
2020-03-06T18:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,8,,,,
2020-03-07T18:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,15,,,,
2020-03-08T18:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,26,,,,
2020-03-09T18:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,31,,,,
2020-03-10T18:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,37,,,,
2020-03-11T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,43,,,,
2020-03-12T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,49,,,,
2020-03-13T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,79,,,,
2020-03-14T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,96,,,,
2020-03-15T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,130,,,,
2020-03-16T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,138,,,,
2020-03-17T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,179,,,,
2020-03-18T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,205,,,,
2020-03-19T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,230,,,,
2020-03-20T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,249,,,,
2020-03-21T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,307,,,,
2020-03-22T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,356,,,,
2020-03-23T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,363,,,,
2020-03-24T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,387,,,,
2020-03-25T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,436,,,,
2020-03-26T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,481,,,,
2020-03-27T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,481,,,,
2020-03-28T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,618,,,,
2020-03-29T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,672,,,,
2020-03-30T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,711,,,,
2020-03-31T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,729,,,,
2020-04-01T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,771,,,,
2020-04-02T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,802,,,,
2020-04-03T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,843,,,,
2020-04-04T17:00:00,ITA,09,Toscana,046,Lucca,LU,43.84432283,10.50151366,855,,,,
