data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,0,
2020-02-25T18:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,0,
2020-02-26T18:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,0,
2020-02-27T18:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,0,
2020-02-28T18:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,0,
2020-02-29T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,0,
2020-03-01T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,0,
2020-03-02T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,0,
2020-03-03T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,0,
2020-03-04T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,1,
2020-03-05T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,1,
2020-03-06T18:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,1,
2020-03-07T18:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,3,
2020-03-08T18:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,3,
2020-03-09T18:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,5,
2020-03-10T18:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,7,
2020-03-11T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,21,
2020-03-12T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,25,
2020-03-13T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,26,
2020-03-14T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,33,
2020-03-15T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,42,
2020-03-16T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,45,
2020-03-17T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,53,
2020-03-18T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,59,
2020-03-19T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,70,
2020-03-20T17:00:00,ITA,09,Toscana,100,Prato,PO,43.88062274,11.09703315,94,
