data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,0,,,,
2020-02-25T18:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,0,,,,
2020-02-26T18:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,0,,,,
2020-02-27T18:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,0,,,,
2020-02-28T18:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,0,,,,
2020-02-29T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,3,,,,
2020-03-01T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,3,,,,
2020-03-02T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,3,,,,
2020-03-03T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,3,,,,
2020-03-04T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,10,,,,
2020-03-05T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,12,,,,
2020-03-06T18:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,14,,,,
2020-03-07T18:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,19,,,,
2020-03-08T18:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,24,,,,
2020-03-09T18:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,29,,,,
2020-03-10T18:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,33,,,,
2020-03-11T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,37,,,,
2020-03-12T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,41,,,,
2020-03-13T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,41,,,,
2020-03-14T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,58,,,,
2020-03-15T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,60,,,,
2020-03-16T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,66,,,,
2020-03-17T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,73,,,,
2020-03-18T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,77,,,,
2020-03-19T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,78,,,,
2020-03-20T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,128,,,,
2020-03-21T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,133,,,,
2020-03-22T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,144,,,,
2020-03-23T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,160,,,,
2020-03-24T17:00:00,ITA,09,Toscana,052,Siena,SI,43.31816374,11.33190988,176,,,,
