data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,0,
2020-02-25T18:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,0,
2020-02-26T18:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,0,
2020-02-27T18:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,0,
2020-02-28T18:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,0,
2020-02-29T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,0,
2020-03-01T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,2,
2020-03-02T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1,
2020-03-03T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1,
2020-03-04T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,6,
2020-03-05T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,6,
2020-03-06T18:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,10,
2020-03-07T18:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,15,
2020-03-08T18:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,15,
2020-03-09T18:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,12,
2020-03-10T18:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,13,
2020-03-11T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,26,
2020-03-12T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,37,
2020-03-13T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,47,
2020-03-14T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,47,
2020-03-15T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,86,
2020-03-16T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,104,
2020-03-17T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,129,
2020-03-18T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,164,
2020-03-19T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,236,
2020-03-20T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,280,
2020-03-21T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,329,
2020-03-22T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,376,
2020-03-23T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,424,
2020-03-24T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,472,
2020-03-25T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,523,
2020-03-26T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,600,
2020-03-27T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,658,
2020-03-28T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,729,
2020-03-29T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,775,
2020-03-30T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,792,
2020-03-31T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,813,
2020-04-01T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,822,
2020-04-02T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,844,
2020-04-03T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,884,
2020-04-04T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,905,
2020-04-05T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,925,
2020-04-06T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,929,
2020-04-07T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,933,
2020-04-08T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,941,
2020-04-09T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,947,
2020-04-10T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,950,
2020-04-11T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,952,
2020-04-12T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,956,
2020-04-13T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,956,
2020-04-14T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,957,
2020-04-15T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,958,
2020-04-16T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,963,
2020-04-17T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,967,
2020-04-18T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,972,
2020-04-19T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,975,
2020-04-20T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,976,
2020-04-21T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,977,
2020-04-22T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,981,
2020-04-23T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,981,
2020-04-24T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,982,
2020-04-25T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,985,
2020-04-26T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,987,
2020-04-27T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,989,
2020-04-28T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,989,
2020-04-29T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,991,
2020-04-30T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,992,
2020-05-01T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,992,
2020-05-02T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,992,
2020-05-03T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,992,
2020-05-04T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,992,
2020-05-05T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,992,
2020-05-06T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,993,
2020-05-07T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,994,
2020-05-08T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,993,
2020-05-09T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,992,
2020-05-10T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,993,
2020-05-11T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,993,
2020-05-12T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,996,
2020-05-13T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,996,
2020-05-14T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,996,
2020-05-15T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,997,
2020-05-16T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,997,
2020-05-17T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,999,
2020-05-18T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,999,
2020-05-19T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1002,
2020-05-20T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1002,
2020-05-21T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1003,
2020-05-22T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1003,
2020-05-23T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1003,
2020-05-24T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1003,
2020-05-25T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1003,
2020-05-26T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-05-27T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-05-28T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-05-29T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-05-30T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-05-31T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-06-01T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-06-02T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-06-03T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-06-04T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-06-05T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-06-06T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-06-07T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-06-08T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1004,
2020-06-09T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1006,
2020-06-10T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1006,
2020-06-11T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1006,
2020-06-12T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1006,
2020-06-13T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1006,
2020-06-14T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1006,
2020-06-15T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1006,
2020-06-16T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1007,
2020-06-17T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1007,
2020-06-18T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1007,
2020-06-19T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1008,
2020-06-20T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1008,
2020-06-21T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1008,
2020-06-22T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1008,
2020-06-23T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1008,
2020-06-24T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1008,
2020-06-25T17:00:00,ITA,10,Umbria,054,Perugia,PG,43.10675841,12.38824698,1008,
