data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-06-25T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,324,
2020-06-26T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,324,
2020-06-27T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,324,
2020-06-28T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,324,
2020-06-29T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,324,
2020-06-30T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,325,
2020-07-01T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,326,
2020-07-02T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,326,
2020-07-03T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,327,
2020-07-04T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,328,
2020-07-05T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,328,
2020-07-06T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,328,
2020-07-07T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,330,
2020-07-08T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,330,
2020-07-09T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,330,
2020-07-10T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,330,
2020-07-11T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,330,
2020-07-12T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,331,
2020-07-13T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,331,
2020-07-14T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,332,
2020-07-15T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,332,
2020-07-16T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,335,
2020-07-17T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,334,
2020-07-18T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,337,
2020-07-19T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,337,
2020-07-20T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,337,
2020-07-21T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,337,
2020-07-22T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,335,
2020-07-23T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,299,
2020-07-24T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,302,
2020-07-25T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,302,
2020-07-26T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,303,
2020-07-27T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,304,
2020-07-28T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,303,
2020-07-29T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,303,
2020-07-30T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,305,
2020-07-31T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,303,
2020-08-01T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,307,
2020-08-02T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,308,
2020-08-03T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,308,
2020-08-04T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,309,
2020-08-05T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,311,
2020-08-06T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,311,
2020-08-07T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,311,
2020-08-08T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,311,
2020-08-09T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,312,
2020-08-10T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,312,
2020-08-11T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,313,
2020-08-12T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,316,
2020-08-13T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,316,
2020-08-14T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,323,
2020-08-15T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,328,
2020-08-16T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,330,
2020-08-17T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,331,
2020-08-18T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,332,
2020-08-19T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,333,
2020-08-20T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,332,
2020-08-21T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,333,
2020-08-22T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,340,
2020-08-23T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,349,
2020-08-24T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,350,
2020-08-25T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,354,
2020-08-26T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,357,
2020-08-27T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,365,
2020-08-28T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,368,
2020-08-29T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,368,
2020-08-30T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,370,
2020-08-31T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,371,
2020-09-01T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,372,
2020-09-02T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,373,
2020-09-03T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,376,
2020-09-04T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,386,
2020-09-05T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,391,
2020-09-06T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,395,
2020-09-07T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,396,
2020-09-08T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,399,
2020-09-09T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,401,
2020-09-10T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,401,
2020-09-11T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,409,
2020-09-12T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,411,
2020-09-13T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,414,
2020-09-14T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,417,
2020-09-15T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,422,
2020-09-16T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,424,
2020-09-17T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,428,
2020-09-18T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,431,
2020-09-19T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,437,
2020-09-20T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,436,
2020-09-21T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,437,
2020-09-22T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,436,
2020-09-23T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,436,
2020-09-24T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,441,
2020-09-25T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,444,
2020-09-26T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,443,
2020-09-27T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,448,
2020-09-28T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,449,
2020-09-29T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,450,
2020-09-30T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,451,
2020-10-01T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,456,
2020-10-02T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,462,
2020-10-03T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,466,
2020-10-04T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,469,
2020-10-05T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,477,
2020-10-06T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,483,
2020-10-07T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,493,
2020-10-08T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,502,
2020-10-09T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,514,
2020-10-10T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,521,
2020-10-11T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,534,
2020-10-12T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,542,
2020-10-13T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,549,
2020-10-14T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,559,
2020-10-15T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,694,
2020-10-16T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,703,
2020-10-17T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,719,
2020-10-18T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,739,
2020-10-19T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,746,
2020-10-20T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,755,
2020-10-21T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,792,
2020-10-22T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,815,
2020-10-23T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,841,
2020-10-24T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,853,
2020-10-25T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,882,
2020-10-26T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,894,
2020-10-27T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,907,
2020-10-28T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,944,
2020-10-29T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,959,
2020-10-30T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,1022,
2020-10-31T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,1057,
2020-11-01T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,1086,
2020-11-02T17:00:00,ITA,05,Veneto,899,Fuori_Regione__Provincia_Autonoma,,,,1103,
