data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,0,,,,
2020-02-25T18:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,30,,,,
2020-02-26T18:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,40,,,,
2020-02-27T18:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,59,,,,
2020-02-28T18:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,68,,,,
2020-02-29T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,81,,,,
2020-03-01T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,105,,,,
2020-03-02T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,135,,,,
2020-03-03T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,144,,,,
2020-03-04T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,162,,,,
2020-03-05T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,175,,,,
2020-03-06T18:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,198,,,,
2020-03-07T18:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,216,,,,
2020-03-08T18:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,255,,,,
2020-03-09T18:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,273,,,,
2020-03-10T18:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,296,,,,
2020-03-11T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,373,,,,
2020-03-12T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,439,,,,
2020-03-13T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,523,,,,
2020-03-14T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,611,,,,
2020-03-15T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,658,,,,
2020-03-16T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,715,,,,
2020-03-17T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,781,,,,
2020-03-18T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,882,,,,
2020-03-19T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,924,,,,
2020-03-20T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,1026,,,,
2020-03-21T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,1155,,,,
2020-03-22T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,1277,,,,
2020-03-23T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,1371,,,,
2020-03-24T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,1464,,,,
2020-03-25T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,1636,,,,
2020-03-26T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,1777,,,,
2020-03-27T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,1891,,,,
2020-03-28T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,2009,,,,
2020-03-29T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,2124,,,,
2020-03-30T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,2188,,,,
2020-03-31T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,2264,,,,
2020-04-01T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,2368,,,,
2020-04-02T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,2489,,,,
2020-04-03T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,2553,,,,
2020-04-04T17:00:00,ITA,05,Veneto,028,Padova,PD,45.40692987,11.87608718,2632,,,,
