data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,0,
2020-02-25T18:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,0,
2020-02-26T18:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,0,
2020-02-27T18:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,0,
2020-02-28T18:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,0,
2020-02-29T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,0,
2020-03-01T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,0,
2020-03-02T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,0,
2020-03-03T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,1,
2020-03-04T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,4,
2020-03-05T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,5,
2020-03-06T18:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,5,
2020-03-07T18:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,5,
2020-03-08T18:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,5,
2020-03-09T18:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,7,
2020-03-10T18:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,10,
2020-03-11T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,14,
2020-03-12T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,13,
2020-03-13T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,16,
2020-03-14T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,27,
2020-03-15T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,27,
2020-03-16T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,27,
2020-03-17T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,28,
2020-03-18T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,33,
2020-03-19T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,52,
2020-03-20T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,67,
2020-03-21T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,68,
2020-03-22T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,76,
2020-03-23T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,80,
2020-03-24T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,82,
2020-03-25T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,87,
2020-03-26T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,110,
2020-03-27T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,122,
2020-03-28T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,122,
2020-03-29T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,125,
2020-03-30T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,131,
2020-03-31T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,136,
2020-04-01T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,140,
2020-04-02T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,152,
2020-04-03T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,180,
2020-04-04T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,184,
2020-04-05T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,186,
2020-04-06T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,203,
2020-04-07T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,218,
2020-04-08T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,232,
2020-04-09T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,249,
2020-04-10T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,271,
2020-04-11T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,274,
2020-04-12T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,280,
2020-04-13T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,280,
2020-04-14T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,287,
2020-04-15T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,291,
2020-04-16T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,297,
2020-04-17T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,301,
2020-04-18T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,306,
2020-04-19T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,306,
2020-04-20T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,307,
2020-04-21T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,369,
2020-04-22T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,400,
2020-04-23T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,403,
2020-04-24T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,413,
2020-04-25T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,416,
2020-04-26T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,417,
2020-04-27T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,422,
2020-04-28T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,424,
2020-04-29T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,426,
2020-04-30T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,427,
2020-05-01T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,430,
2020-05-02T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,430,
2020-05-03T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,431,
2020-05-04T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,430,
2020-05-05T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,429,
2020-05-06T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,430,
2020-05-07T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,429,
2020-05-08T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,429,
2020-05-09T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,430,
2020-05-10T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,432,
2020-05-11T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,433,
2020-05-12T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,433,
2020-05-13T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,435,
2020-05-14T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,436,
2020-05-15T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,437,
2020-05-16T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,437,
2020-05-17T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,438,
2020-05-18T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,439,
2020-05-19T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,440,
2020-05-20T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,440,
2020-05-21T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,440,
2020-05-22T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,441,
2020-05-23T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,441,
2020-05-24T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-05-25T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-05-26T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-05-27T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-05-28T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-05-29T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-05-30T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-05-31T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-06-01T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-06-02T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-06-03T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-06-04T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-06-05T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-06-06T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-06-07T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-06-08T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
2020-06-09T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
2020-06-10T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
2020-06-11T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
2020-06-12T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,442,
2020-06-13T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
2020-06-14T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
2020-06-15T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
2020-06-16T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
2020-06-17T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
2020-06-18T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
2020-06-19T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
2020-06-20T17:00:00,ITA,05,Veneto,029,Rovigo,RO,45.07107289,11.79007,443,
