data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,0,
2020-02-25T18:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1,
2020-02-26T18:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,2,
2020-02-27T18:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,22,
2020-02-28T18:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,23,
2020-02-29T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,35,
2020-03-01T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,43,
2020-03-02T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,72,
2020-03-03T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,82,
2020-03-04T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,86,
2020-03-05T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,89,
2020-03-06T18:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,103,
2020-03-07T18:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,110,
2020-03-08T18:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,126,
2020-03-09T18:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,136,
2020-03-10T18:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,158,
2020-03-11T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,185,
2020-03-12T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,279,
2020-03-13T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,327,
2020-03-14T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,376,
2020-03-15T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,413,
2020-03-16T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,452,
2020-03-17T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,502,
2020-03-18T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,591,
2020-03-19T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,637,
2020-03-20T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,719,
2020-03-21T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,806,
2020-03-22T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,935,
2020-03-23T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,999,
2020-03-24T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1091,
2020-03-25T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1177,
2020-03-26T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1254,
2020-03-27T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1310,
2020-03-28T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1359,
2020-03-29T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1402,
2020-03-30T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1449,
2020-03-31T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1522,
2020-04-01T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1554,
2020-04-02T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1606,
2020-04-03T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1657,
2020-04-04T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1687,
2020-04-05T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1712,
2020-04-06T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1726,
2020-04-07T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1738,
2020-04-08T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1863,
2020-04-09T17:00:00,ITA,05,Veneto,026,Treviso,TV,45.66754571,12.24507363,1906,
