data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note
2020-02-24T18:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,0,
2020-02-25T18:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,0,
2020-02-26T18:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,0,
2020-02-27T18:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,0,
2020-02-28T18:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,0,
2020-02-29T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,0,
2020-03-01T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,2,
2020-03-02T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,8,
2020-03-03T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,17,
2020-03-04T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,21,
2020-03-05T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,25,
2020-03-06T18:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,42,
2020-03-07T18:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,52,
2020-03-08T18:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,63,
2020-03-09T18:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,73,
2020-03-10T18:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,96,
2020-03-11T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,110,
2020-03-12T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,150,
2020-03-13T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,210,
2020-03-14T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,275,
2020-03-15T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,335,
2020-03-16T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,425,
2020-03-17T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,481,
2020-03-18T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,626,
2020-03-19T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,686,
2020-03-20T17:00:00,ITA,05,Veneto,023,Verona,VR,45.43839046,10.99352685,784,
