nome_regione,Rt,data
Abruzzo,1.05,2021-01-17
Abruzzo,1.12,2021-01-10
Abruzzo,0.89,2021-01-02
Abruzzo,0.69,2020-12-26
Abruzzo,0.73,2020-12-19
Abruzzo,0.8,2020-12-13
Abruzzo,0.82,2020-12-06
Abruzzo,1.11,2020-11-22
Abruzzo,1.29,2020-11-15
Abruzzo,1.35,2020-11-08
Abruzzo,1.54,2020-11-04
Abruzzo,1.4,2020-10-24
Basilicata,1.17,2021-01-17
Basilicata,1.22,2021-01-10
Basilicata,0.9,2021-01-02
Basilicata,1.17,2020-12-26
Basilicata,0.77,2020-12-19
Basilicata,0.67,2020-12-13
Basilicata,0.66,2020-12-06
Basilicata,1.22,2020-11-22
Basilicata,1.54,2020-11-15
Basilicata,1.63,2020-11-08
Basilicata,1.99,2020-11-04
Basilicata,1.04,2020-10-24
Calabria,1.0,2021-01-17
Calabria,1.1,2021-01-10
Calabria,1.15,2021-01-02
Calabria,1.03,2020-12-26
Calabria,0.84,2020-12-19
Calabria,0.74,2020-12-13
Calabria,0.76,2020-12-06
Calabria,0.94,2020-11-22
Calabria,1.09,2020-11-15
Calabria,1.3,2020-11-08
Calabria,1.6,2020-11-04
Calabria,1.66,2020-10-24
Campania,0.9,2021-01-17
Campania,0.85,2021-01-10
Campania,0.79,2021-01-02
Campania,0.8,2020-12-26
Campania,0.66,2020-12-19
Campania,0.63,2020-12-13
Campania,0.71,2020-12-06
Campania,0.94,2020-11-22
Campania,1.3,2020-11-15
Campania,1.58,2020-11-08
Campania,1.57,2020-11-04
Campania,1.49,2020-10-24
Emilia-Romagna,1.0,2021-01-17
Emilia-Romagna,1.12,2021-01-10
Emilia-Romagna,1.07,2021-01-02
Emilia-Romagna,0.96,2020-12-26
Emilia-Romagna,0.88,2020-12-19
Emilia-Romagna,0.84,2020-12-13
Emilia-Romagna,0.88,2020-12-06
Emilia-Romagna,1.11,2020-11-22
Emilia-Romagna,1.2,2020-11-15
Emilia-Romagna,1.4,2020-11-08
Emilia-Romagna,1.63,2020-11-04
Emilia-Romagna,1.63,2020-10-24
Friuli Venezia Giulia,0.93,2021-01-10
Friuli Venezia Giulia,1.0,2021-01-02
Friuli Venezia Giulia,0.9,2020-12-26
Friuli Venezia Giulia,0.8,2020-12-19
Friuli Venezia Giulia,0.78,2020-12-13
Friuli Venezia Giulia,0.91,2020-12-06
Lazio,0.97,2021-01-17
Lazio,1.07,2021-01-10
Lazio,0.99,2021-01-02
Lazio,0.89,2020-12-26
Lazio,0.98,2020-12-19
Lazio,0.95,2020-12-13
Lazio,0.82,2020-12-06
Lazio,0.96,2020-11-22
Lazio,0.9,2020-11-15
Lazio,1.04,2020-11-08
Lazio,1.36,2020-11-04
Lazio,1.51,2020-10-24
Liguria,1.04,2021-01-17
Liguria,1.09,2021-01-10
Liguria,1.06,2021-01-02
Liguria,1.0,2020-12-26
Liguria,0.88,2020-12-19
Liguria,0.74,2020-12-13
Liguria,0.68,2020-12-06
Liguria,0.77,2020-11-22
Liguria,0.92,2020-11-15
Liguria,1.2,2020-11-08
Liguria,1.48,2020-11-04
Liguria,1.54,2020-10-24
Lombardia,0.84,2021-01-17
Lombardia,1.39,2021-01-10
Lombardia,1.22,2021-01-02
Lombardia,0.97,2020-12-26
Lombardia,0.96,2020-12-19
Lombardia,1.0,2020-12-13
Lombardia,0.85,2020-12-06
Lombardia,1.24,2020-11-22
Lombardia,1.25,2020-11-15
Lombardia,1.61,2020-11-08
Lombardia,2.08,2020-11-04
Lombardia,2.09,2020-10-24
Marche,0.99,2021-01-17
Marche,1.01,2021-01-10
Marche,0.98,2021-01-02
Marche,0.96,2020-12-26
Marche,0.93,2020-12-19
Marche,0.88,2020-12-13
Marche,0.87,2020-12-06
Marche,0.97,2020-11-22
Marche,1.27,2020-11-15
Marche,1.35,2020-11-08
Marche,1.29,2020-11-04
Marche,1.48,2020-10-24
Molise,1.29,2021-01-17
Molise,0.98,2021-01-10
Molise,1.03,2021-01-02
Molise,1.05,2020-12-26
Molise,1.07,2020-12-19
Molise,1.18,2020-12-13
Molise,1.48,2020-12-06
Molise,1.12,2020-11-22
Molise,1.05,2020-11-15
Molise,1.32,2020-11-08
Molise,1.88,2020-11-04
Molise,1.86,2020-10-24
Piemonte,1.05,2021-01-17
Piemonte,1.09,2021-01-10
Piemonte,0.93,2021-01-02
Piemonte,0.76,2020-12-26
Piemonte,0.68,2020-12-19
Piemonte,0.68,2020-12-13
Piemonte,0.68,2020-12-06
Piemonte,0.9,2020-11-22
Piemonte,1.1,2020-11-15
Piemonte,1.37,2020-11-08
Piemonte,1.97,2020-11-04
Piemonte,2.16,2020-10-24
Puglia,1.1,2021-01-17
Puglia,1.14,2021-01-10
Puglia,1.03,2021-01-02
Puglia,0.96,2020-12-26
Puglia,0.97,2020-12-19
Puglia,0.89,2020-12-13
Puglia,0.87,2020-12-06
Puglia,1.06,2020-11-22
Puglia,1.24,2020-11-15
Puglia,1.45,2020-11-08
Puglia,1.57,2020-11-04
Puglia,1.65,2020-10-24
Sardegna,0.97,2021-01-17
Sardegna,1.0,2021-01-10
Sardegna,0.95,2021-01-02
Sardegna,0.83,2020-12-26
Sardegna,0.82,2020-12-19
Sardegna,0.8,2020-12-13
Sardegna,0.73,2020-12-06
Sardegna,0.72,2020-11-22
